"","X0.CEv3","X4.CEv3","X24.CEv3","X48.CEv3","cluster","gene","mean_0","mean_48","difference","label"
"Src",0.183754037985761,-1.1447473432947,-0.7774590600477,-1.40808564581692,"1","Src",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map2k1",1.53082986890017,1.41902873549438,0.34350111298097,-0.0254513384745918,"1","Map2k1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Ttk",1.22124388070024,0.687361803636728,-1.05766304304556,-0.760253282433953,"1","Ttk",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Acvr1",1.4433237187024,0.903334220014264,-0.650120335174355,-1.1253043899985,"1","Acvr1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Jak1",0.11618764564788,1.23105994372583,-0.298083080955198,-0.983993485392982,"1","Jak1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Fer",0.6039003781547,-0.336148687606856,-0.227767743949807,-0.784564033150412,"1","Fer",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Yes1",-0.400302762505446,-0.961919406467494,-1.14571897679046,-1.95497804445554,"1","Yes1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Cdk18",0.642188263358288,0.59064911470627,-0.233381431248764,0.271461786438596,"1","Cdk18",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Abl2",0.0651047298518622,-0.376125569336628,-1.43422158148132,-0.338073700072794,"1","Abl2",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map2k2",-0.224918312659098,0.0146199172728701,-0.882238568572258,-0.770635160715091,"1","Map2k2",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Mylk",1.52454942802599,0.821400030513158,0.552355656178619,0.119475888199086,"1","Mylk",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map3k11",1.07903422551547,1.87349504405772,-1.94740212048163,-0.105816655654051,"1","Map3k11",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Cdk9",0.912041255697605,0.97103945427864,0.67477494634525,0.0470929872260849,"1","Cdk9",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Stk4",1.07401381964906,0.571922534804474,-0.923690728424775,-1.53543971445617,"1","Stk4",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Rps6ka6",2.56859198246893,-0.41568158548884,-1.4922326872553,-1.41605916114473,"1","Rps6ka6",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Taok3",0.362481434516514,-0.941179754939943,-1.05543924084843,-0.12576310740357,"1","Taok3",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Pdk3",0.929485793928948,-0.251234519739629,-1.01963707589955,1.12220350096399,"1","Pdk3",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Cdk14",-0.850267469535807,-0.837848581270946,0.575998048837452,1.53342738220989,"2","Cdk14",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Bmpr2",-1.43076331776466,-0.328178624053392,0.183563741105725,1.90237954414481,"2","Bmpr2",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Csnk2a2",-0.946144218431438,-0.618363213905572,0.935009578847232,0.592319218461496,"2","Csnk2a2",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Mapk14",1.00177587215691,0.827193316614863,1.18149808448801,1.25134177919982,"2","Mapk14",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Mapk1",-0.0969872232369325,0.821675490818468,-0.654825401671381,1.47458195260704,"2","Mapk1",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Rock1",0.211964820987526,0.0693930628056618,0.985579739787473,1.54295345536435,"2","Rock1",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Epha4",0.597937402141768,0.774142766176781,1.03206077917142,0.908225575112855,"2","Epha4",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Taok1",-2.27508552739476,-1.36668760546985,-0.557837740055439,0.0140727027154082,"2","Taok1",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Trim28",-1.38132679344971,-1.25165158778456,0.129452175825196,0.214240438522855,"2","Trim28",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Ipmk",-0.430505562220115,-0.22351240682783,0.509978610340428,1.59000795579204,"2","Ipmk",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Pak4",-1.5469291792936,-0.544085948721385,0.823392732645265,2.68762239312167,"2","Pak4",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Prkd2",0.521569099562823,0.783024182471899,1.04030734959227,1.17043217845706,"2","Prkd2",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Rps6ka5",0.974667430233935,0.75874690519203,1.02222999719739,0.897973235882667,"2","Rps6ka5",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Prkd3",1.07824802255644,0.98082268331172,1.1533372078792,1.21771049221427,"2","Prkd3",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Stk38",-0.736607068392493,-1.28238243823139,-0.0335373439224467,3.11042040777276,"2","Stk38",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Frk",-1.81687895474143,1.55884510500983,-0.9565491826542,0.503237855418316,"2","Frk",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Brd4",-1.15521922546333,0.331424083981635,1.26731847605822,-0.0945005104866478,"2","Brd4",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Camk2a",-0.610205762227593,-0.706720906373669,-0.395958847516857,0.0464752352979875,"2","Camk2a",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Map2k4",0.963198774775744,0.990731011168385,0.740551766743199,0.789838877140122,"2","Map2k4",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Acvr1b",-1.68025585987251,0.948447010075686,0.298757172568476,-0.870399216098446,"2","Acvr1b",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Cdk6",-2.06582457394779,-0.412451159921472,0.247092364739547,-0.373248815425969,"2","Cdk6",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Fn3k",-2.77402259643829,-0.942759619227424,1.02298460887047,0.711549486061702,"2","Fn3k",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Agk",0.673171370301474,0.752955684110759,1.20017400496609,1.24934117383989,"2","Agk",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Prkce",-0.811629385635057,1.86571917371451,-0.951294690269221,0.255854003857172,"2","Prkce",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Syk",-0.500409376095681,-1.38853361418501,0.992959463262945,0.232673777264979,"2","Syk",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
"Map3k12",-2.74809649344847,1.80636748973882,0.730574017032532,0.682848671859179,"2","Map3k12",-0.743816066083035,0.864882522060448,1.60869858814348,"up"
